car,automobile:0.014695280231535435
journey,voyage:0.10315388441085815
boy,lad:0.14230890572071075
coast,shore:0.05869600921869278
magician,wizard:-0.0340164378285408
midday,noon:0.10715891420841217
furnace,stove:-0.18895018100738525
food,fruit:0.023017918691039085
bird,crane:0.022241339087486267
tool,implement:-0.0475957989692688
brother,monk:-0.16092559695243835
crane,implement:-0.14847332239151
lad,brother:0.12203425168991089
journey,car:0.05435184761881828
monk,oracle:-0.10950378328561783
food,rooster:-0.1216592863202095
coast,hill:0.04410766810178757
forest,graveyard:-0.0105610815808177
monk,slave:0.027158482000231743
coast,forest:0.0508432611823082
lad,wizard:-0.03860487788915634
chord,smile:0.05339406058192253
glass,magician:-0.1187877431511879
noon,string:-0.0753440409898758
rooster,voyage:-0.2228533774614334
Correlation:0.3451327689100524
